date,open,close,high,low,volume,money,return,hold_return,5_days_return,volume_ratio,Sharpe,future_return,o_signal,signal
2014-01-03,2311.97,2290.78,2314.84,2280.89,5978264500.0,57739709924.0,-0.01343680824124227,0.00022987418740767169,-0.0011990912440740242,1.0506276409039006,0.017738540584050153,-0.023040187185150995,0,-1.0
2014-01-06,2286.37,2238.64,2286.37,2229.33,6630040300.0,59979360128.0,-0.022760806362898345,-0.004074251870241019,-0.013217501914293791,1.048366293023678,-0.2710594935166382,0.0014607082871742616,1,0.0
2014-01-07,2222.31,2238.0,2246.79,2218.65,4375310300.0,42565648108.0,-0.0002858878604866666,-0.0016497628601774364,-0.012161167488209093,1.0611017812610934,-0.11890827323205537,-0.007050938337801682,0,1.0
2014-01-08,2240.64,2241.91,2262.58,2228.42,5134885400.0,50691488898.0,0.0017470956210901,-0.0038060082685522473,-0.0070998662007649704,1.0139485420041499,-0.3312579509149125,-0.016530547613418878,-1,0.0
2014-01-09,2236.97,2222.22,2258.89,2220.8,5598704100.0,54399491333.0,-0.008782689760070683,-0.004811366013512524,-0.0024404939998224164,0.9301936868748374,-0.41525020672398943,-0.012843012843012813,0,-1.0
2014-01-10,2216.52,2204.85,2224.49,2200.22,5416929300.0,47572309533.0,-0.007816507816507778,-0.0078272136512652,-0.004950700651829454,1.0008227871202167,-0.932153603900652,0.0036283647413655196,-1,0.0
2014-01-13,2207.0,2193.68,2222.07,2183.6,5012277200.0,46123003754.0,-0.005066104270131766,-0.00805738695574963,-0.007221767282236742,0.9803925713647716,-0.9733104781084306,0.006956347325042911,0,-1.0
2014-01-14,2192.84,2212.85,2214.12,2179.91,5404994700.0,46785099888.0,0.008738740381459609,-0.00488945143822079,-0.0013812905683933119,0.9833212818611647,-0.49136465795026957,-0.00045642497232067925,-1,0.0
2014-01-15,2210.02,2208.94,2215.9,2193.8,4896239500.0,45755914348.0,-0.0017669521205684324,-0.0018903294036022311,0.0006352279969198035,0.9969917443095807,-0.3111137342192222,-0.013784892301284879,0,-1.0
2014-01-16,2209.45,2211.84,2227.26,2201.56,5229890200.0,49842784005.0,0.0013128468858367714,-0.0016619387255560256,0.002761545048909316,0.9876102054951499,-0.2691137463473296,-0.020729347511574292,-1,0.0
2014-01-17,2203.82,2178.49,2205.97,2175.88,5027315500.0,46268159163.0,-0.015077944155092782,-0.004065515836439294,-0.005177349796608148,0.9664270504378402,-0.5272370154566666,0.004094579272799104,0,-1.0
2014-01-20,2173.65,2165.99,2182.46,2156.46,4056015400.0,39157227541.0,-0.005737919384527834,-0.0036305486399331732,-0.006501005551261281,0.9530258593010391,-0.4851694995374482,0.03592352688608913,-1,0.0
2014-01-21,2168.42,2187.41,2197.92,2168.42,4030624700.0,38590992772.0,0.009889242332605352,-0.0011011557614884402,-0.003642207069005088,0.9091394060295777,-0.12624838202013874,0.020334550907237237,0,-1.0
