date,open,close,high,low,volume
2007/1/15,1881.47,1986.54,1986.54,1881.47,3881263200
2007/1/16,1991.69,2055.02,2055.02,1991.04,4807441800
2007/1/17,2064.29,2035.65,2093.89,1992.54,5883288700
2007/1/18,2025.85,2085.4,2085.4,2002.66,5094946000
2007/1/19,2097.51,2159.64,2159.65,2097.51,5792516800
2007/1/22,2183.44,2258.99,2259.03,2183.44,6358920100
2007/1/23,2267.45,2261.78,2268.69,2175.6,6108017600
2007/1/24,2260.71,2283.7,2295.26,2236.57,5104122200
2007/1/25,2271.52,2174.24,2271.52,2172.98,4817566000
2007/1/26,2143.99,2186.27,2196.28,2061.66,4475940500
2007/1/29,2201.59,2260.6,2261.24,2201.59,4564666200
2007/1/30,2271.47,2255.94,2280.72,2230.65,5024768700
2007/1/31,2251.32,2142.89,2258.7,2129.79,4904692400
2007/2/1,2120.01,2165.41,2176.2,2080.16,4233884500
2007/2/2,2170.03,2127.1,2190.96,2124.3,3861061000
2007/2/5,2122.37,2152.25,2166.09,2118.87,3013411000
2007/2/6,2158.5,2198.24,2198.63,2148.1,3087618500
2007/2/7,2209.65,2237.94,2237.94,2208.38,3832705000
2007/2/8,2245.08,2278.45,2282.19,2233.52,3905389700
2007/2/9,2282.63,2287.38,2300.81,2263.61,3716182200
2007/2/12,2291.66,2341.07,2341.07,2291.66,3618835300
2007/2/13,2351.65,2384.16,2384.16,2338.57,3816378300
2007/2/14,2386.84,2435.96,2445.76,2380.74,4406558200
2007/2/15,2451.44,2512.4,2512.55,2451.32,5151645900
2007/2/16,2528.84,2541.41,2581.56,2519.23,5405675100
2007/2/26,2557.25,2642.11,2642.11,2532.1,4896308400
2007/2/27,2654.43,2405.57,2673.53,2402.72,7240425400
2007/2/28,2370.95,2513.53,2520,2369.05,5302502900
2007/3/1,2526.15,2459.51,2526.16,2417.84,5882813900
2007/3/2,2458.26,2503.68,2515.02,2452.97,4723810400
2007/3/5,2508.39,2511.92,2548.25,2419.29,4953597800
2007/3/6,2501.29,2516,2524.63,2467.68,3332166600
2007/3/7,2525.53,2580.6,2580.6,2525.47,3723070900
2007/3/8,2587.75,2634.88,2634.88,2562.5,4307706500
2007/3/9,2637.6,2638.05,2662.33,2590.44,4803170500
2007/3/12,2639.89,2696.5,2696.87,2610.4,5136709100
2007/3/13,2701.5,2727.45,2740.46,2694.38,5359616200
2007/3/14,2704.45,2708.69,2740.53,2622.76,5658027100
2007/3/15,2703.93,2760.84,2760.84,2703.57,5100980600
2007/3/16,2769.15,2710.86,2777.41,2671.95,5563313100
2007/3/19,2623.74,2751.48,2760.09,2609.31,4764988100
2007/3/20,2761.01,2810.71,2811.15,2758.99,4355898400
2007/3/21,2821.44,2859.01,2859.03,2801.93,4827675600
2007/3/22,2869.75,2861.15,2899.35,2852.67,5600569800
2007/3/23,2862.63,2898,2901.78,2820.99,5227235500
2007/3/26,2915.05,2989.05,2989.05,2915.05,5673677500
2007/3/27,2995.46,3039.53,3040.35,2979.13,5695780000
2007/3/28,3048.5,3004.3,3060.19,2873.38,6700933900
2007/3/29,3005.06,2894.78,3008.22,2894.74,5599479900
2007/3/30,2878.24,2926.06,2935.24,2859.73,3596241700
2007/4/2,2935.21,2993.63,2993.63,2932.64,3767358700
2007/4/3,3004.9,3042.46,3042.46,2993.19,4676698300
2007/4/4,3049.92,3078.9,3084.62,3032.49,5312635300
2007/4/5,3076.76,3133.14,3137.02,3063.42,5280165700
2007/4/6,3110.95,3182.8,3189.11,3097.06,5625205400
2007/4/9,3201.15,3240.3,3243.88,3201.15,6214375200
2007/4/10,3253.67,3261.53,3261.53,3151.49,6355660800
2007/4/11,3267.61,3309.74,3309.98,3231.31,6772377200
2007/4/12,3316.2,3387.41,3387.41,3302.36,6470744600
2007/4/13,3393.96,3358.63,3419.99,3341.27,6753507300
2007/4/16,3362.73,3458.07,3458.07,3362.73,6039685800
2007/4/17,3482.36,3558.22,3558.22,3420.31,7794423700
2007/4/18,3572.7,3649.71,3652.72,3548.36,7161400000
2007/4/19,3642.85,3435.78,3642.85,3356.02,7801430100
2007/4/20,3456.74,3614.39,3624.82,3456.74,6225114500
2007/4/23,3667.55,3782.26,3784.08,3667.55,7372002800
2007/4/24,3813.53,3821.42,3861.57,3753.13,8181431900
2007/4/25,3802.69,3805.05,3822.41,3712.04,6438927200
2007/4/26,3814.82,3853.27,3854.05,3788.87,5543334900
2007/4/27,3861.05,3845.81,3871.4,3801.55,5829740200
2007/4/30,3831.55,3903.69,3909.04,3809.97,6557115000
2007/5/8,3990.71,4091.13,4093.01,3972.03,7312397300
2007/5/9,4107.55,4099.13,4125.42,3918.74,8305249900
2007/5/10,4103.57,4128.08,4146.59,4062.48,6851392100
2007/5/11,4101.65,4109.4,4130.9,4028.36,6024275200
2007/5/14,4051.84,4133.83,4164.81,4014.57,5875138100
2007/5/15,4140.33,3998.78,4161.52,3989.36,6400179400
2007/5/16,3981.82,4118.14,4118.24,3929.51,5555939400
2007/5/17,4146.32,4221.91,4235.05,4135.37,6270870200
2007/5/18,4219.61,4235.19,4261.46,4188.32,5920970000
2007/5/21,4089.85,4364.16,4364.16,4076.52,7162174500
2007/5/22,4402.93,4459.81,4484.53,4402.76,8065068700
2007/5/23,4486.02,4582.31,4582.45,4463.27,7429000000
2007/5/24,4606.15,4571.71,4625.92,4460.93,8313528100
2007/5/25,4559.43,4649.86,4665.98,4525.29,7120866700
2007/5/28,4707.69,4761.7,4784.43,4700.61,8115643500
2007/5/29,4782.41,4853.64,4853.88,4730.48,7563410600
2007/5/30,4486.51,4456.28,4751.03,4430.69,8063030500
2007/5/31,4329.81,4267.78,4414.61,4095.4,7444530700
2007/6/1,4260.77,3960.44,4317.3,3945.4,6604351400
2007/6/4,3901.79,3618.69,3930.34,3615.11,4516643500
2007/6/5,3430.55,3659.94,3660.51,3317.87,7041323000
2007/6/6,3676.69,3736.93,3786.77,3563.23,6713567300
2007/6/7,3751.67,3936.77,3936.84,3736.16,6477424100
2007/6/8,3970.28,4002.87,4036.88,3931.38,6457133900
2007/6/11,4057.17,4104.55,4117.25,4056.82,6173008700
2007/6/12,4138.33,4218.44,4218.61,3945.68,7356973900
2007/6/13,4263.62,4372.53,4398.61,4254.63,7771329200
2007/6/14,4365.98,4311.98,4399.52,4249.21,6896110600
2007/6/15,4262.75,4316.53,4349.16,4232.3,5208474900
2007/6/18,4400.4,4439.19,4454.78,4400.4,5788577000
2007/6/19,4446.69,4529.03,4529.28,4394.23,6184438900
2007/6/20,4539.58,4396.22,4589.22,4371,6728099800
2007/6/21,4372.35,4374.49,4452.48,4277.04,5200246600
2007/6/22,4376.38,4123.22,4386.93,4050.67,5568941100
2007/6/25,4139.28,3851.94,4184.33,3824.89,4765213600
2007/6/26,3739.19,3928.7,3930.04,3667.82,4362727100
2007/6/27,3944.36,4022.31,4031.63,3877.08,4201226000
2007/6/28,4017.18,3757.98,4026.09,3756.6,3996948100
2007/6/29,3636.31,3585.49,3718.18,3527.32,3878781800
2007/7/2,3571.72,3644.79,3658.14,3489.12,3350486800
2007/7/3,3675.36,3704.71,3710.08,3587.71,3057577600
2007/7/4,3711.61,3622.52,3716.51,3605.45,2683980800
2007/7/5,3562.28,3380.18,3570.05,3378.45,2941409000
2007/7/6,3359.09,3591.38,3594.42,3309.15,3795462800
