date,open,close,high,low,volume
2009/1/9,1565.19,1591.43,1593.1,1565.19,716533400
2009/1/12,1588.3,1590.85,1612.71,1578.25,743474500
2009/1/13,1573.46,1551.21,1577.2,1550.18,606405700
2009/1/14,1545.37,1607.21,1607.76,1545.37,746115300
2009/1/15,1592.6,1614.49,1629.12,1586.94,1197656200
2009/1/16,1620.01,1628.8,1652.65,1620.01,1449505000
2009/1/19,1644.38,1638.49,1670.34,1624.42,1256012100
2009/1/20,1631.97,1642.01,1643.57,1608.68,832422400
2009/1/21,1617.59,1635.38,1651.7,1611.82,975172000
2009/1/22,1646.08,1661.63,1665.36,1634.46,947383200
2009/1/23,1660.14,1647.82,1663.75,1643.26,979272200
2009/2/2,1663.41,1680.25,1680.3,1651.37,827764600
2009/2/3,1680.58,1732.67,1733.52,1674.44,1470713100
2009/2/4,1744.11,1755.01,1757.61,1734.23,1480791900
2009/2/5,1759.45,1740.36,1780.74,1724.95,1883662000
2009/2/6,1744.33,1795.74,1800.72,1744.33,1711383600
2009/2/9,1821.83,1855.68,1864.42,1808.04,2363565800
2009/2/10,1850.16,1888.62,1888.99,1828.7,2111407000
2009/2/11,1858.98,1895.06,1919.92,1846.8,2496961400
2009/2/12,1907.39,1895.77,1921.96,1841.58,2084026200
2009/2/13,1906.09,1975.7,1978.58,1892.36,2719259500
2009/2/16,1996.92,2006.38,2008.7,1948.91,2522440000
2009/2/17,2004.01,1925.96,2004.03,1925.94,2206021200
2009/2/18,1881.67,1842.14,1924,1838.94,1935774000
2009/2/19,1859.01,1876.53,1890.81,1844.76,1286267000
2009/2/20,1880.22,1919,1922.23,1860.92,1233758100
2009/2/23,1911.3,1959.2,1964.76,1886.83,1541427900
2009/2/24,1932.59,1871.51,1960.85,1869.32,1937704600
2009/2/25,1895.61,1868.63,1907.21,1816.12,1514548400
2009/2/26,1872.85,1767.02,1896.99,1742.24,1472178200
2009/2/27,1739.72,1702.14,1747.51,1683.78,1252656600
2009/3/2,1679.2,1718.85,1730.15,1675.98,851101100
2009/3/3,1677.76,1707.55,1725.81,1668.6,883270400
2009/3/4,1713.3,1815.31,1823.31,1713.3,1464035900
2009/3/5,1836.75,1817.01,1840.69,1775.78,1702565800
2009/3/6,1782.46,1796.27,1810.5,1775.11,1199401300
2009/3/9,1807.02,1728.56,1822.35,1724.06,1233563300
2009/3/10,1713.68,1774.71,1775.42,1709.92,902666300
2009/3/11,1811.1,1760.54,1814.84,1754.92,1184272500
2009/3/12,1753.28,1756.87,1761.38,1713.51,855117200
2009/3/13,1769.99,1748.89,1784.71,1742.74,768244500
2009/3/16,1744.68,1763.16,1767.16,1727.19,582102800
2009/3/17,1765.98,1817.91,1822.13,1754.06,1199826600
2009/3/18,1827.31,1833.31,1855.48,1820.68,1414856800
2009/3/19,1835.41,1880.56,1880.77,1835.22,1506136400
2009/3/20,1885.73,1868.28,1885.73,1846.34,1456062400
2009/3/23,1873.86,1925.36,1925.79,1867.67,1807155800
2009/3/24,1948.65,1935.61,1951.77,1922.3,1569216200
2009/3/25,1922.98,1881.66,1934.94,1880.95,1522929300
2009/3/26,1895.74,1967.24,1967.42,1892.18,2321670200
2009/3/27,2003.39,2010.04,2022.88,1993.5,2690929900
2009/3/30,2013.87,2006.12,2033.28,1997.49,1765387600
2009/3/31,1965.57,2027.04,2027.45,1954.04,1544424200
2009/4/1,2030.83,2063.86,2065.12,2030.64,2180622000
2009/4/2,2071.11,2075.05,2109.5,2068.39,2420182200
2009/4/3,2088.65,2038.48,2092.98,2032.58,1742142800
2009/4/7,2036.81,2049.46,2060.96,2021.63,1175803200
2009/4/8,2041.5,1994.8,2053.13,1994.53,1699376800
2009/4/9,1991.57,2023.33,2026.39,1976.06,1220279100
2009/4/10,2038.13,2090.88,2091.22,2022.87,1629694800
2009/4/13,2109.37,2154.83,2165.96,2109.37,2287031200
2009/4/14,2149.57,2161.11,2169.76,2135.36,1910450700
2009/4/15,2144.56,2158.9,2165.91,2108.71,1688715000
2009/4/16,2160.95,2170.66,2192.49,2138.21,2071035000
2009/4/17,2163.72,2142.25,2178.85,2115.48,1784715000
2009/4/20,2139.39,2191.45,2192.67,2139.39,1498451100
2009/4/21,2165.66,2175.44,2186.54,2133.82,1515291300
2009/4/22,2183.71,2092.67,2208,2080.62,1917869300
2009/4/23,2072.92,2097.32,2107.59,2058.54,1072444500
2009/4/24,2104.38,2075.33,2107.51,2072.75,1092242800
2009/4/27,2069.8,2006.78,2076.33,2000.64,982659800
2009/4/28,1987.2,2010.76,2018.32,1979.63,1083635400
2009/4/29,2009.73,2073.91,2080.4,2009.73,1258742700
2009/4/30,2081.47,2093.63,2119.63,2081.47,1435248000
2009/5/4,2101.71,2154.85,2157.69,2099.44,1435374900
2009/5/5,2177.1,2180.99,2191.93,2165.19,1613283900
2009/5/6,2175.02,2217.25,2218.11,2165.01,1695646500
2009/5/7,2235.42,2194.91,2241.36,2163.98,1895613700
2009/5/8,2183.1,2188.22,2195.66,2153.8,1621821400
2009/5/11,2197.23,2121.58,2203.44,2121.14,1689070600
2009/5/12,2105.07,2154.54,2155.37,2101.91,1081145600
2009/5/13,2156.86,2170.52,2179.02,2136.72,1375872700
2009/5/14,2151.32,2159,2169.3,2140.78,1124217500
2009/5/15,2164.75,2162.47,2181.07,2147.12,1044175900
