date,open,close,high,low,volume
2005/1/4,95.64,95.69,95.69,95.61,57431300
2005/1/5,95.7,95.85,95.86,95.69,69868900
2005/1/6,95.86,96.04,96.04,95.85,97271900
2005/1/7,96.04,96.14,96.14,96.03,77988600
2005/1/10,96.15,96.3,96.31,96.11,134789000
2005/1/11,96.31,96.33,96.35,96.28,96978000
2005/1/12,96.34,96.32,96.37,96.28,134900500
2005/1/13,96.19,96.34,96.35,96.17,110345100
2005/1/14,96.34,96.45,96.46,96.34,159424400
2005/1/17,96.49,96.66,96.66,96.45,122147900
2005/1/18,96.66,96.69,96.75,96.65,162342500
2005/1/19,96.7,96.69,96.73,96.65,117075000
2005/1/20,96.7,96.62,96.7,96.61,134095300
2005/1/21,96.64,96.73,96.73,96.6,101737100
2005/1/24,96.75,96.82,96.83,96.69,111888100
2005/1/25,96.83,97.01,97.03,96.82,146818300
2005/1/26,97.02,97.28,97.32,97.02,158883400
2005/1/27,97.3,97.17,97.4,97.16,131583600
2005/1/28,97.14,97.18,97.19,97.09,110911400
2005/1/31,97.21,97.28,97.29,97.17,112852600
2005/2/1,97.29,97.4,97.4,97.29,140765300
2005/2/2,97.41,97.33,97.41,97.08,145078100
2005/2/3,97.33,97.41,97.42,97.18,96716100
2005/2/4,97.42,97.6,97.63,97.39,95512400
2005/2/16,97.72,97.63,97.72,97.58,67113900
2005/2/17,97.63,97.8,97.81,97.63,92483700
2005/2/18,97.81,97.99,97.99,97.81,88453000
2005/2/21,98.02,97.95,98.03,97.91,97879500
2005/2/22,97.95,97.95,98.03,97.87,141385900
2005/2/23,98.18,97.99,98.18,97.93,130923900
2005/2/24,98,98,98.09,97.99,114030800
2005/2/25,98.04,98.45,98.47,98.02,176367200
2005/2/28,98.48,98.69,98.72,98.47,135082200
2005/3/1,98.68,98.63,98.74,98.61,121377600
2005/3/2,98.64,98.46,98.66,98.42,195035200
2005/3/3,98.47,98.32,98.47,98.29,184455100
2005/3/4,98.32,98.42,98.47,98.31,206237300
2005/3/7,98.45,98.53,98.57,98.41,157219400
2005/3/8,98.54,98.68,98.68,98.48,249937500
2005/3/9,98.78,98.6,98.78,98.55,218250300
2005/3/10,98.58,98.67,98.67,98.56,195295000
2005/3/11,98.68,98.85,98.86,98.66,104853300
2005/3/14,98.87,99.12,99.12,98.67,89457900
2005/3/15,99.13,99.45,99.46,99.13,142297000
2005/3/16,99.47,99.48,99.71,99.47,153175700
2005/3/17,99.5,100.07,100.08,99.5,128991900
2005/3/18,100.09,100.21,100.33,100.08,183450100
2005/3/21,100.23,100.03,100.27,99.92,131691900
2005/3/22,99.99,100.02,100.06,99.97,140129200
2005/3/23,99.99,99.86,99.99,99.82,113536600
2005/3/24,99.87,99.94,99.95,99.79,103687800
2005/3/25,99.92,99.97,99.98,99.88,110954100
2005/3/28,100,100.03,100.03,99.96,101158300
2005/3/29,100.03,100.19,100.19,100.03,106021300
2005/3/30,100.2,100.22,100.26,100.2,76230700
2005/3/31,100.23,100.19,100.23,100.13,117528700
2005/4/1,100.2,100.21,100.21,100.16,112233100
2005/4/4,100.24,100.25,100.25,100.18,93029600
2005/4/5,100.26,100.36,100.61,100.25,74494300
2005/4/6,100.37,100.55,100.57,100.37,92369500
2005/4/7,100.56,100.69,100.69,100.55,104305600
2005/4/8,100.7,100.88,100.89,100.69,90513300
2005/4/11,100.9,101.08,101.09,100.81,110056500
2005/4/12,101.06,101.45,101.45,101.06,100477100
2005/4/13,101.46,101.48,101.48,101.34,105905300
2005/4/14,101.52,101.73,101.76,101.47,117365400
2005/4/15,101.74,101.81,101.87,101.74,150880100
