date,open,close,high,low,volume
2009/1/9,1690.11,1727.01,1736.81,1690.11,359047000
2009/1/12,1717.08,1715.86,1750.63,1699.8,368549600
2009/1/13,1697.11,1667.97,1697.7,1667.64,275230800
2009/1/14,1664.33,1750.08,1750.6,1664.33,362291600
2009/1/15,1729.16,1739.64,1760.49,1721.28,434220600
2009/1/16,1751.32,1775.22,1798.38,1751.32,575516300
2009/1/19,1787.2,1799.97,1834.7,1776.95,572587500
2009/1/20,1796.85,1809.35,1812.29,1767.54,315821500
2009/1/21,1781.86,1798.08,1822.4,1775.43,351335500
2009/1/22,1815.01,1864.16,1877.29,1807.37,539868100
2009/1/23,1857.53,1845.82,1866.57,1844.18,407217200
2009/2/2,1860.41,1853.84,1866.57,1826.14,327495700
2009/2/3,1848.38,1885.7,1886.19,1833.09,589667400
2009/2/4,1894.48,1913.87,1916.5,1892.73,701730300
2009/2/5,1911.08,1916.38,1979.02,1898.22,763963500
2009/2/6,1922.28,1992.63,2000.31,1922.28,729727200
2009/2/9,2019.2,2056.88,2071.86,2009.7,807658700
2009/2/10,2048.71,2096.39,2097.96,2024.8,724621200
2009/2/11,2057.3,2066.61,2104.47,2036.6,871615400
2009/2/12,2063.6,2009.78,2074.99,1958.23,737081600
2009/2/13,2003.99,2069.64,2070.66,1984.81,791906800
2009/2/16,2092.41,2151.63,2152.9,2082.35,925949600
2009/2/17,2154.99,2103.26,2191.94,2099.69,1040737600
2009/2/18,2047.69,1960.64,2060.43,1958.81,767289000
2009/2/19,1973.33,1975.65,1999.13,1941.81,536041100
2009/2/20,1991.33,2009.77,2010.8,1966.81,556157600
2009/2/23,1994.8,2048.13,2055.25,1964.46,666243600
2009/2/24,2013.81,1933.33,2030.33,1926.18,736773300
2009/2/25,1957.35,1915.56,1968.15,1865.79,529441200
2009/2/26,1914.28,1843.69,1955.18,1818.63,610574000
2009/2/27,1831.2,1796.04,1852.51,1778.58,557017500
2009/3/2,1778.19,1799.45,1804.43,1769.11,355191500
2009/3/3,1756.02,1761.66,1780.07,1733.09,403291800
2009/3/4,1769.78,1882.19,1884.9,1769.78,669170000
2009/3/5,1906.61,1889.15,1925.71,1855.38,773026600
2009/3/6,1852.29,1881.74,1909.79,1843.15,494777800
2009/3/9,1903.26,1827.64,1925.36,1821.93,476275600
2009/3/10,1811.45,1883.09,1883.62,1806.19,419669000
2009/3/11,1913.9,1863.54,1917.84,1859.74,434073800
2009/3/12,1846.99,1843.22,1852.3,1801.48,297999600
2009/3/13,1869.81,1840.76,1880.86,1837.66,291815500
2009/3/16,1828.07,1848.92,1854.08,1812.53,215618500
2009/3/17,1851.34,1922.86,1930.08,1848.45,495644300
2009/3/18,1937.64,1952.08,1987.34,1933.69,724933800
2009/3/19,1955.17,2044.72,2051.3,1955.17,887474200
2009/3/20,2065.6,2096.67,2118.13,2058.06,1108211200
2009/3/23,2101.47,2123.5,2145.83,2079.63,773793600
2009/3/24,2152.39,2131.01,2162.54,2112.09,731598600
2009/3/25,2132.61,2090.41,2170.73,2090.07,721144300
2009/3/26,2082.61,2147.57,2148.75,2032.55,686433700
2009/3/27,2160.34,2145.29,2168.73,2125.64,684807800
2009/3/30,2148.79,2110.01,2148.79,2103.26,486078000
2009/3/31,2058.41,2118.31,2124.8,2043.57,467495500
2009/4/1,2126.27,2208.41,2231.89,2125.15,876106600
2009/4/2,2217.47,2231.12,2256.39,2194.3,833979800
2009/4/3,2254.36,2222.23,2300.61,2208.45,742951200
2009/4/7,2223.4,2288.32,2289.07,2223.4,608306700
2009/4/8,2275.74,2213.59,2281.74,2212.95,671843100
2009/4/9,2207.43,2219.23,2230.76,2156.16,479463900
2009/4/10,2241.04,2324.2,2324.83,2223.47,774257300
2009/4/13,2352.31,2483.71,2484.87,2350.15,1288427400
2009/4/14,2477.08,2470.4,2488.51,2426.86,804110600
2009/4/15,2453.74,2517.13,2558.21,2436.2,852204600
2009/4/16,2519.45,2464.51,2521.3,2436.17,693626800
2009/4/17,2448.29,2387.97,2448.29,2355.91,711993300
2009/4/20,2376.95,2458.61,2471.93,2370.03,619321700
2009/4/21,2412.29,2411.04,2441.51,2368.03,697242500
2009/4/22,2428.17,2304.99,2436.93,2295.28,738261500
2009/4/23,2285.06,2357.13,2364.52,2279.21,550092200
2009/4/24,2370.48,2352.45,2377.2,2332.2,489260000
2009/4/27,2344.97,2341.61,2356.99,2300.28,451389000
2009/4/28,2316.41,2355.88,2369.05,2310.76,472647600
2009/4/29,2361.53,2411.95,2424.27,2348.48,611846100
2009/4/30,2429.11,2420.38,2448.97,2399.17,520417900
2009/5/4,2439.67,2570.67,2573.87,2439.67,770052900
2009/5/5,2591.38,2556.68,2594.74,2538.62,733566400
2009/5/6,2559.06,2616.68,2647.23,2553.11,783543100
2009/5/7,2641.04,2655.52,2659,2585.84,901326700
2009/5/8,2631.61,2667.22,2706.96,2617.44,1055031700
2009/5/11,2682.82,2570.77,2690.32,2570.77,904169000
2009/5/12,2544.29,2645.05,2647.43,2539.22,524502200
2009/5/13,2659.74,2736.9,2738.04,2651.59,906128000
2009/5/14,2689.57,2737.75,2747.22,2670.92,691783900
2009/5/15,2746.09,2762.99,2767.05,2713.39,581047400
2009/5/18,2739,2853.94,2871.6,2680.63,758110400
2009/5/19,2877.8,2867.62,2909.45,2851.07,842285600
2009/5/20,2870.34,2914.36,2957.36,2864.65,789213800
2009/5/21,2911.76,2832.28,2953.19,2823.26,968364400
2009/5/22,2799.07,2775.41,2825,2749.12,670004000
2009/5/25,2705.3,2793.05,2804.51,2665.96,780059600
2009/5/26,2788.42,2693.85,2788.42,2682.39,690280200
2009/5/27,2710.19,2720.26,2736.44,2686.81,612846800
2009/6/1,2778.8,2865.66,2866.45,2772.99,996485300
2009/6/2,2893.04,2840.34,2897.16,2823.05,948511600
2009/6/3,2836.2,2863.26,2877.99,2821.69,686959800
2009/6/4,2833.84,2854.7,2857.39,2778.1,834953500
2009/6/5,2880.22,2860.99,2897.15,2853.95,705907000
2009/6/8,2858.4,2827.34,2864.63,2806.85,618149500
2009/6/9,2829.15,2818.68,2854.58,2759.02,660869500
2009/6/10,2843.71,2859.52,2861.42,2818.18,621866400
2009/6/11,2854.22,2815.75,2855.99,2809.09,578910400
2009/6/12,2809.79,2763.21,2842.74,2745.98,558414800
2009/6/15,2754.14,2751.18,2760.52,2693.44,455782800
2009/6/16,2716.66,2743.43,2772.28,2703.58,386048600
2009/6/17,2743.47,2778.4,2781.26,2707.64,443979900
2009/6/18,2790.13,2881.66,2882.26,2790.13,840911900
2009/6/19,2895.81,2858.84,2898.53,2837.38,560503400
2009/6/22,2868.87,2836.08,2871.47,2815.41,606061000
2009/6/23,2785.92,2787.26,2823.74,2755.57,588206900
2009/6/24,2787.24,2883.91,2886.18,2784.65,697997800
2009/6/25,2890.53,2855.94,2910.44,2843.84,604347900
2009/6/26,2871.58,2879.71,2904.18,2871.58,455830900
2009/6/29,2881.18,2975.81,2981.12,2858.42,812950700
2009/6/30,3011.25,2974.64,3039.54,2963.19,882792000
2009/7/1,2960.55,3021.58,3027.09,2954.99,664323400
2009/7/2,3032.27,3127.42,3128.28,3031.44,1056520900
2009/7/3,3093.32,3206.3,3207.46,3079.91,984590700
2009/7/6,3209.42,3234.49,3299.47,3193.99,977359500
2009/7/7,3218.55,3177.76,3220.58,3164.81,794152600
2009/7/8,3133.39,3248.54,3249.71,3113.89,704056400
2009/7/9,3240.32,3288.28,3291.02,3216.23,795525100
2009/7/10,3286.89,3265.52,3308.33,3258.84,632057100
2009/7/13,3244.66,3184.59,3244.66,3179.99,704314000
2009/7/14,3188.3,3260.83,3268.08,3188.3,628971100
2009/7/15,3273.78,3350.15,3365.87,3243.9,928902000
2009/7/16,3371.09,3330.6,3427.56,3317.96,870648600
2009/7/17,3325.06,3413.87,3416.21,3311.07,864756100
2009/7/20,3435.61,3581.33,3592.74,3422.86,1277389300
2009/7/21,3584.44,3507.35,3584.81,3496.4,1033475500
2009/7/22,3492.51,3718.37,3751.49,3489.28,1315233600
2009/7/23,3717.91,3752.2,3773.37,3690.1,865331000
2009/7/24,3771.22,3883.18,3956.95,3771.22,1291578700
2009/7/27,3882.27,3904.28,3908.28,3826.56,987428600
2009/7/28,3899.05,3835.43,3899.05,3778.6,822895600
2009/7/29,3802.16,3623.83,3820.21,3512.25,1006267800
2009/7/30,3622.28,3662.93,3677.97,3491.51,711472600
2009/7/31,3701.63,3768.24,3775.42,3681,693228500
2009/8/3,3787.72,3822.99,3863,3706.81,802923000
2009/8/4,3835.7,3954.72,3956.65,3781.53,935139000
2009/8/5,3935.49,3815.04,3935.49,3776.46,757497400
2009/8/6,3768.73,3669.28,3768.73,3646.25,646248200
2009/8/7,3664.02,3523.22,3710.49,3497.72,679549200
2009/8/10,3552.88,3506.7,3585.98,3430.44,534886700
2009/8/11,3528.47,3539.94,3556.09,3468.76,400507100
2009/8/12,3527.58,3345.7,3527.58,3339.73,496250400
2009/8/13,3342.94,3408.87,3421.85,3291.39,487439800
2009/8/14,3425.82,3340.62,3441.54,3314.61,511348300
2009/8/17,3245.09,3073.62,3274.3,3073.16,559034900
2009/8/18,3038.85,3132.26,3139.09,3007.95,484015100
2009/8/19,3157.88,2965.38,3174.98,2933.34,528092600
2009/8/20,2996.56,3159.39,3163.66,2996.56,692852100
2009/8/21,3162.58,3251.19,3258.55,3128.45,663845800
2009/8/24,3277.73,3329.77,3360.61,3258.09,684564500
2009/8/25,3300.85,3248.49,3300.85,3098.32,623204400
2009/8/26,3193.94,3272.76,3331.83,3172.37,480303300
2009/8/27,3239.56,3212.28,3280.23,3173.7,482909000
2009/8/28,3212.27,3068.75,3221.84,3049.8,533846600
2009/8/31,3005.15,2791.59,3005.15,2789.47,653501100
2009/9/1,2756.01,2778.81,2843.97,2728.22,444085700
2009/9/2,2805.3,2847.9,2874.18,2796.76,473838200
2009/9/3,2852.38,3024.01,3039.54,2828.95,623271800
2009/9/4,3022.9,3025.63,3075.16,2993.8,518850300
2009/9/7,3041.46,3030.72,3086.25,3007.63,465810300
2009/9/8,3004.4,3128.1,3128.67,2947.75,628655600
2009/9/9,3168.46,3164.37,3198.22,3115.48,623848100
2009/9/10,3155.19,3131.21,3177.29,3106.17,394445800
2009/9/11,3120.47,3196.61,3217.21,3117.64,533294900
2009/9/14,3176.01,3233.83,3249.47,3166.63,493882800
2009/9/15,3235.75,3265.77,3303.32,3235.75,589282900
