date,open,close,high,low,volume
2011/8/22,5231.68,5196.86,5283.44,5172.35,867166000
2011/8/23,5217.49,5257.44,5257.85,5183.86,736238300
2011/8/24,5291.14,5225.24,5307.83,5215.24,914936300
2011/8/25,5225.22,5377.45,5379.84,5207.22,1410340300
2011/8/26,5352.59,5382.67,5403.73,5341.02,1053343700
2011/8/29,5352.3,5314.08,5357.07,5313.33,867501000
2011/8/30,5355.96,5279.69,5399.75,5276.94,943946100
2011/8/31,5283.71,5267.87,5307.96,5223.94,721797800
2011/9/1,5278.14,5221.21,5295.53,5204.29,626744300
2011/9/2,5210.95,5155.03,5227.65,5127.66,609924700
2011/9/5,5107.86,5022.85,5107.88,5022.31,732367000
2011/9/6,4985.32,4997.31,5024.29,4963.08,677387000
2011/9/7,5023.22,5133.06,5133.06,5021.95,779395600
2011/9/8,5159.42,5090.9,5165.66,5090.65,710726600
2011/9/9,5100.05,5080.1,5152.95,5063.17,551299500
2011/9/13,4999.87,4993.19,5006.38,4952.25,599041200
2011/9/14,5018.17,5046.17,5046.33,4921.38,631679900
2011/9/15,5049.88,5037.52,5090.94,5036.57,596939200
2011/9/16,5059.34,5045.72,5087.18,5042.1,564921200
2011/9/19,5022.12,4939.64,5022.12,4939.64,629936900
2011/9/20,4920.34,4957.39,4977.43,4891.63,579310800
2011/9/21,4958.63,5127.51,5135.43,4929.69,1105641900
2011/9/22,5067.82,4968.25,5107,4964.16,1031083200
2011/9/23,4866.46,4925.79,4945.97,4844.69,888284800
2011/9/26,4885.41,4846.46,4951.15,4831.69,771201300
2011/9/27,4890.99,4889.58,4920.73,4841.88,771346300
2011/9/28,4927.99,4821.73,4938.01,4802.73,756469900
2011/9/29,4775.84,4691.29,4775.99,4684.74,831013200
2011/9/30,4709.62,4678.35,4728.97,4648.73,659321300
2011/10/10,4702.33,4638.21,4718.78,4631.42,538399000
2011/10/11,4762.06,4570.51,4783.67,4519.33,976784000
2011/10/12,4541.34,4710.02,4712.39,4481.93,1000667500
2011/10/13,4697.1,4759.63,4784.86,4680.46,1002478600
2011/10/14,4756.42,4750.8,4783.88,4708.35,759321600
2011/10/17,4767.41,4745.65,4798.6,4723.15,697068100
2011/10/18,4708.79,4577.12,4712.11,4573.21,779818300
2011/10/19,4594.31,4550.4,4615.77,4535.97,574467900
2011/10/20,4528.78,4393.57,4529.16,4358.44,839330200
2011/10/21,4383.3,4296.14,4394.43,4293.63,591674400
2011/10/24,4307.29,4380.39,4380.48,4219.25,772335700
2011/10/25,4390.41,4526.46,4543.57,4366.78,1140928200
2011/10/26,4497.86,4570.26,4619.75,4490.81,1413076500
2011/10/27,4572.47,4566.91,4597.33,4544.99,937055500
2011/10/28,4644.45,4687.13,4692.14,4644.45,1453286000
2011/10/31,4679.73,4677.44,4705.54,4649.08,951051700
2011/11/1,4626.45,4661.23,4710.92,4614.54,951743500
2011/11/2,4583.28,4709.33,4710.55,4538.2,1169517900
2011/11/3,4731.62,4760.9,4833.98,4731.62,1642146900
2011/11/4,4804.93,4819.85,4857.19,4782.1,1387290100
2011/11/7,4810.41,4806.82,4863.09,4781.54,1084893100
2011/11/8,4819.26,4780.41,4850.68,4768.61,1190885800
2011/11/9,4799.71,4833.78,4844.38,4730.81,946867900
2011/11/10,4766.42,4733.76,4787.17,4731.23,946751100
2011/11/11,4750.59,4720.27,4768.2,4699.54,695331800
2011/11/14,4768.95,4852.36,4852.36,4767.66,1110781100
2011/11/15,4846.85,4874.19,4875.95,4835.46,960086000
2011/11/16,4877.64,4729.23,4879.69,4711.97,1058427900
2011/11/17,4731.04,4712.9,4768.9,4701.95,691203000
2011/11/18,4670.78,4563.06,4670.78,4554.58,797158400
2011/11/21,4562.86,4564.89,4576.1,4513.83,566678800
2011/11/22,4516.69,4546.84,4547.89,4476.24,519359000
2011/11/23,4557.46,4498.96,4566.88,4498.55,515488700
2011/11/24,4454.58,4472.88,4513.7,4415.35,559085600
2011/11/25,4471.86,4457.85,4524.94,4443.26,517740800
2011/11/28,4473.41,4493.55,4506.99,4452.17,538428800
2011/11/29,4543.66,4577.25,4577.85,4515.11,683300600
2011/11/30,4564.84,4379.42,4564.84,4338.74,841706700
2011/12/1,4521.77,4487.2,4573.32,4487.09,1215348400
2011/12/2,4458.61,4380.83,4458.61,4359.59,596950600
2011/12/5,4378.35,4256.4,4379.74,4252.34,565559100
2011/12/6,4237.21,4249.53,4266.08,4205.78,489410400
2011/12/7,4255.06,4258.62,4282.17,4232.07,395237000
2011/12/8,4254.25,4236.43,4284.1,4171.23,468238000
2011/12/9,4197.89,4181.96,4232.9,4172.17,401413600
2011/12/12,4183.9,4133.32,4197.02,4130.91,368772100
2011/12/13,4106.28,3977.78,4106.28,3971.44,635426000
2011/12/14,3969.55,3903.53,4008.23,3893.66,499294300
2011/12/15,3858.67,3722.25,3858.67,3722.25,755336600
2011/12/16,3726.43,3824.23,3824.42,3700.67,702681700
2011/12/19,3795.76,3799.84,3802.28,3686.52,693224000
2011/12/20,3782.68,3793.81,3844.02,3773.31,611420300
2011/12/21,3838.24,3698.16,3852.42,3696.65,530372600
2011/12/22,3660.71,3676.57,3725.33,3549.18,728172000
2011/12/23,3662.52,3706.67,3751.24,3648.76,584399000
2011/12/26,3686.27,3684.93,3747.11,3668.82,452702300
2011/12/27,3678.98,3606.74,3686.01,3601.34,454769300
2011/12/28,3586.18,3604.49,3605.86,3519.31,535990100
2011/12/29,3578.76,3600.38,3626.63,3567.81,496269300
