date,open,close,high,low,volume
2009/1/9,1249.63,1281.3,1283.58,1249.63,792187500
2009/1/12,1279.37,1300.27,1322.51,1274.45,1034021300
2009/1/13,1280.02,1273.8,1303.31,1271.53,979833800
2009/1/14,1274.69,1329.63,1329.96,1274.63,1066874900
2009/1/15,1317.87,1334.24,1351.5,1311.53,1259188500
2009/1/16,1339.66,1351.27,1370.58,1339.66,1294359600
2009/1/19,1363.33,1360.71,1379.17,1344.73,1090140100
2009/1/20,1357.89,1379.29,1379.66,1351.62,930923800
2009/1/21,1359.92,1372.67,1390.34,1354.42,805729300
2009/1/22,1379.39,1405.04,1405.62,1376.17,989187400
2009/1/23,1402.29,1399.63,1420.22,1388.9,1073500000
2009/2/2,1424.37,1436.32,1437.23,1410.82,908458600
2009/2/3,1435.05,1478.23,1479.3,1428.63,1403455000
2009/2/4,1483.45,1522.63,1523.06,1481.92,1715372200
2009/2/5,1520.41,1504.89,1558.84,1490.72,2012036700
2009/2/6,1510.54,1575.12,1580.03,1510.54,1664892300
2009/2/9,1603.01,1646.63,1647.52,1601.49,2046501800
2009/2/10,1639.54,1682.65,1683.41,1615.65,1932361000
2009/2/11,1663.96,1682.36,1731.46,1648.43,2262970300
2009/2/12,1693.17,1669.25,1700.47,1604.63,2001660200
2009/2/13,1671.9,1727.87,1730.49,1660.8,2212475100
2009/2/16,1742.61,1801.25,1801.84,1730.89,2724766100
2009/2/17,1801.8,1760.87,1826.89,1737.32,2797464400
2009/2/18,1714.48,1671.14,1749.61,1666.79,1914020600
2009/2/19,1693.93,1704.84,1729.64,1670.17,1804305100
2009/2/20,1714.03,1763.1,1763.53,1688.59,1576386600
2009/2/23,1757.92,1811.88,1819.76,1733.84,1814126500
2009/2/24,1788.9,1741.81,1823.85,1734.22,2023359500
2009/2/25,1757.97,1732.16,1770.35,1678.2,1582343100
2009/2/26,1732.61,1618.28,1742.91,1594.77,1529294600
2009/2/27,1581.09,1532.12,1583.25,1499.82,1413283000
2009/3/2,1513.12,1573.67,1574.42,1507.23,967366500
2009/3/3,1530.61,1565.91,1586.77,1518.89,1187035900
2009/3/4,1560.81,1665.07,1668.15,1560.81,1715651500
2009/3/5,1692.74,1687.93,1720.67,1652.42,1996190400
2009/3/6,1662.63,1663.03,1683.59,1650.98,1267089900
2009/3/9,1667.79,1580.67,1679.04,1578.98,1125062800
2009/3/10,1544.65,1603.73,1604.63,1540.85,947893200
2009/3/11,1632.68,1600.13,1647.84,1592.52,1332272200
2009/3/12,1589.34,1597.16,1603.08,1549.77,869342700
2009/3/13,1607.68,1589.6,1618.83,1586.05,859853700
2009/3/16,1585.34,1624.82,1627.45,1577.67,918131100
2009/3/17,1630.3,1693.66,1699.54,1629.71,1674204400
2009/3/18,1699.6,1721.87,1758.45,1695.61,2043596800
2009/3/19,1728.12,1764.71,1771.74,1705.66,1822411200
2009/3/20,1781.2,1819.37,1831.08,1773.38,2347762100
2009/3/23,1843,1871.25,1901.92,1831.6,2444429500
2009/3/24,1889.8,1859.44,1893.09,1849.72,1971991300
2009/3/25,1838.13,1818.86,1886.33,1818.27,1893779200
2009/3/26,1823.86,1889.87,1890.47,1779.6,1813057900
2009/3/27,1899.91,1909.01,1938.37,1879.05,2714041600
2009/3/30,1897.03,1876.26,1897.03,1859.99,1487015600
2009/3/31,1827.57,1872.13,1882.23,1817.05,1449476500
2009/4/1,1886.31,1924.45,1937.92,1886.31,2062410300
2009/4/2,1932.6,1947.06,1963.67,1921.57,2331055000
2009/4/3,1954.87,1916.92,1958.15,1903.26,1971018000
2009/4/7,1903.66,1912.19,1917.16,1889.27,1635069700
2009/4/8,1893.07,1825.17,1895.98,1824.69,1711887600
2009/4/9,1819.49,1846.78,1847.39,1802.66,1194019800
2009/4/10,1860.51,1920.53,1929.44,1851.39,1922854000
2009/4/13,1934.54,1983.21,1991.79,1926.56,2647588000
2009/4/14,1978.15,1979.52,1988.22,1960.43,1521519400
2009/4/15,1960.92,1999.45,2016.47,1945.34,2189348800
2009/4/16,2003.8,2035.17,2045.4,1985.56,2437269100
2009/4/17,2017,1971.06,2017,1954.39,1781776800
2009/4/20,1952.78,2005.92,2007.15,1947.15,1306972200
2009/4/21,1980.48,1995.58,2001.21,1954.87,1598400300
2009/4/22,1995.84,1894.63,2000.96,1887.25,1776441800
2009/4/23,1876.75,1907.35,1920.3,1854.83,1223963200
2009/4/24,1911.36,1896.28,1930.78,1891.46,1083978700
2009/4/27,1885.19,1833.75,1895.85,1828.53,1150258600
2009/4/28,1812.35,1825.35,1836.83,1803.61,785781300
2009/4/29,1817.09,1867.53,1872.93,1807.5,1159798000
2009/4/30,1877.69,1891.17,1903.21,1874.89,1170598900
2009/5/4,1903.52,1969.06,1970,1903.52,1992544800
2009/5/5,1985.85,1973.67,1990.69,1965.7,1941471400
2009/5/6,1965.12,1994.6,1996.37,1955.03,1502739100
2009/5/7,2013.38,2003.17,2045.31,1978.05,2115565800
2009/5/8,1989.88,1982.53,1998.13,1944.44,1518457700
2009/5/11,1986.93,1930.49,2001.87,1929.44,1838456000
2009/5/12,1909.68,1975.66,1976.39,1907.2,1515548200
2009/5/13,1981.77,2000.81,2011.87,1970.88,1949310700
2009/5/14,1973.59,1976.74,1983.77,1954.95,1259339200
2009/5/15,1980.3,1973.82,1986.6,1958.97,730764100
2009/5/18,1967.62,1984.98,1985.64,1934.56,985310300
2009/5/19,1998.27,2034.88,2037.81,1984.41,1786661100
2009/5/20,2034.57,2006.55,2040.83,2006.13,1590580800
2009/5/21,1996.07,1988.25,2021.72,1973.14,1698042900
2009/5/22,1977.34,1974.56,1988,1957.87,1069710900
2009/5/25,1931.99,1980.14,1984.2,1923.39,1156241600
2009/5/26,1983.3,1952.41,1991.84,1951.64,1079213200
2009/5/27,1963.74,1977.35,1985.51,1943.04,986955900
2009/6/1,2007.67,2063.8,2068.22,2007.67,2053958000
2009/6/2,2084.91,2081.5,2112.69,2069.66,2172730400
2009/6/3,2084.26,2138.23,2138.58,2073.97,2026644100
2009/6/4,2112.39,2167.81,2177.88,2106.18,2892376100
2009/6/5,2189.21,2171.57,2226.45,2168.26,2553429400
2009/6/8,2158.79,2160.29,2173.31,2124.55,1732888400
2009/6/9,2152.3,2150.62,2156.46,2089.14,1675383600
2009/6/10,2166.6,2176.7,2177.6,2145.49,1577845500
2009/6/11,2170.23,2137.06,2175.81,2133.39,1325689900
2009/6/12,2137.59,2081.04,2142.54,2061.58,1335608100
2009/6/15,2055.71,2073.04,2073.81,2033.41,1094121200
2009/6/16,2047.95,2091.03,2107.17,2042.12,1108452800
2009/6/17,2088.23,2119.39,2130.84,2070.92,1224048400
2009/6/18,2126.81,2138.12,2141.77,2119.11,1461699300
2009/6/19,2136.9,2128.09,2141.98,2109.22,1301766000
2009/6/22,2139.18,2153.88,2168.36,2129.35,1816239900
2009/6/23,2116.36,2162.81,2179.99,2107.27,2139851800
2009/6/24,2168.18,2252.5,2252.69,2167.52,2713325800
2009/6/25,2267.69,2247.51,2274.16,2226.54,1849542700
2009/6/26,2253.58,2229.13,2256.6,2218.42,1395457900
2009/6/29,2225.28,2234.98,2236.54,2202.26,1467108600
2009/6/30,2238.6,2246.97,2260.46,2205.34,1786336700
2009/7/1,2228.09,2274.98,2280.58,2221.11,1839109100
2009/7/2,2291.42,2302.44,2312.82,2287.31,2337962200
2009/7/3,2275.24,2293.01,2297.06,2265.77,1775586900
2009/7/6,2291.06,2367.31,2371.38,2276.11,2865478500
2009/7/7,2358.03,2360.13,2400.2,2340.81,2861355900
2009/7/8,2335.78,2374.24,2385.13,2330.16,1897589100
2009/7/9,2368.89,2409.56,2414.03,2365.68,2122488800
2009/7/10,2418.8,2429.53,2455.8,2414.06,2387921000
2009/7/13,2413.48,2388.74,2425.32,2388.16,1940028900
2009/7/14,2396.09,2446.96,2446.96,2396.09,1825988500
2009/7/15,2461.41,2522.25,2522.95,2461.41,2927756300
2009/7/16,2546.77,2514.45,2568.9,2504.99,2596488500
2009/7/17,2511.89,2582.24,2582.89,2509.83,2255272000
2009/7/20,2601.93,2689.51,2692.09,2601.93,2782716800
2009/7/21,2715.15,2628.53,2717.38,2617.93,2489769800
2009/7/22,2610.13,2684.06,2708.83,2608.63,2179334800
2009/7/23,2695.13,2690.19,2715.45,2665.01,1813559000
2009/7/24,2703.03,2726.13,2729.88,2619.8,2278211400
