data,open,close,high,low,volume
2005/1/3,14216.04004,14237.41992,14267.20996,14150.01953,145563000
2005/1/4,14198.50977,14045.90039,14198.50977,13991.2002,397498200
2005/1/5,13939.01953,13764.36035,13941.12988,13709.58008,530200600
2005/1/6,13718.79004,13712.04004,13789.15039,13672.55957,418761600
2005/1/7,13698.16016,13574.86035,13771.4502,13403,571206400
2005/1/10,13573.41992,13531.38965,13605.01953,13435.42969,317377800
2005/1/11,13609.30957,13509.25,13649.42969,13455.30957,340797200
2005/1/12,13456.54004,13565.30957,13565.30957,13352.70996,336973200
2005/1/13,13570.21973,13573.28027,13631.41016,13533.00977,396311200
2005/1/14,13509.45996,13494.78027,13582.54004,13411.30957,473364600
2005/1/17,13529.08008,13621.65039,13636.76953,13528.11035,261016000
2005/1/18,13621.95996,13604.21973,13621.95996,13489.99023,289845400
2005/1/19,13634.00977,13678.62988,13700.94043,13586.33984,304025000
2005/1/20,13550.98047,13543.58984,13585.66992,13500.58008,460342600
2005/1/21,13495.92969,13481.01953,13518.69043,13432.45996,476200200
2005/1/24,13449.87988,13386.99023,13483.12988,13320.53027,450783600
2005/1/25,13378.83984,13584.05957,13594.86035,13356.24023,319826200
2005/1/26,13599.2002,13623.67969,13652.4502,13558.03027,365578200
2005/1/27,13636.74023,13628.91016,13750.48047,13596.41016,374447400
2005/1/28,13633.67969,13650.05957,13679.30957,13559.98047,268381200
2005/1/31,13625.23047,13721.69043,13762.86035,13581.19043,352642200
2005/2/1,13714.41992,13578.25977,13736.63965,13522.42969,407254000
2005/2/2,13573.63965,13555.79981,13607.87988,13454.40039,321787800
2005/2/3,13525.88965,13515.33008,13586.84961,13456.13965,404907400
2005/2/4,13495.70996,13585.16992,13623.59961,13470.48047,425729600
2005/2/7,13749.08008,13795,13816.86035,13749.08008,383247000
2005/2/8,13806.55957,13845.62988,13863.99023,13788.33008,218206400
2005/2/14,14006.54004,14017.23047,14043.94043,13943.45996,425991600
2005/2/15,14042.37988,13995.83008,14065.66016,13978.24023,304097400
2005/2/16,14029.5,14015.49023,14044.83008,13962.48047,302049600
2005/2/17,14024.12988,13967.82031,14037.62012,13936.62988,256355000
2005/2/18,13933.91992,14087.87012,14093.42969,13898.91992,323290800
2005/2/21,14072.41016,14111.65039,14113.92969,14045.70996,282806200
2005/2/22,14095.88965,14090.51953,14118.23047,14022.05957,296063200
2005/2/23,13933.71973,13957.94043,13964.75977,13907.54004,357029600
2005/2/24,13970.63965,14060.91016,14060.91016,13956.13965,301496800
2005/2/25,14103.12012,14157.08984,14207.53027,14103.12012,418029600
2005/2/28,14204.86035,14195.34961,14272.54004,14141.78027,398278800
2005/3/1,14031.21973,14061.15039,14085.84961,13954.58008,274503200
2005/3/2,14039.84961,13850.78027,14066.75977,13817.45996,375846200
2005/3/3,13816.82031,13892.37012,13909.11035,13785.38965,277068800
2005/3/4,13906.00977,13730.78027,13922.42969,13692.38965,395828200
2005/3/7,13829.83984,13771.9502,13872.62012,13749.25,250703400
2005/3/8,13763.13965,13881.70996,13889.42969,13736.17969,303182800
2005/3/9,13915.36035,13941.46973,13996.45996,13871.26953,299302800
2005/3/10,13811.36035,13856.01953,13874.20996,13742.24023,482474800
2005/3/11,13859.88965,13890.92969,13909.29004,13781.41992,350892600
2005/3/14,13832.94043,13906.84961,13935.11035,13816.25,286057800
2005/3/15,13886.83008,13816.75,13886.83008,13763.54004,316214000
2005/3/16,13709.84961,13832.51953,13838.23047,13647.05957,344711200
2005/3/17,13723.25,13817.99023,13858.41992,13699.70996,340115800
2005/3/18,13865.04981,13828.37012,13907.05957,13779.76953,281040800
2005/3/21,13822.9502,13834.34961,13865.12012,13786.79004,170979400
2005/3/22,13800.83008,13776.46973,13822.87988,13757.65039,264343800
2005/3/23,13602.90039,13603.61035,13643.99023,13564.61035,386965600
2005/3/24,13591.94043,13597.09961,13612.98047,13547.83984,300039600
2005/3/29,13552.09961,13411.87988,13552.09961,13380.91016,401276400
2005/3/30,13404.59961,13425.75,13460.00977,13357.16992,312026400
2005/3/31,13515.37988,13516.87988,13556.13965,13482.49023,427842000
2005/4/1,13495.66016,13491.34961,13518.62988,13397.59961,323861600
2005/4/4,13474.36035,13513.41016,13545.30957,13436.95996,287550800
2005/4/6,13537.37988,13562.25977,13612.04004,13505.78027,355905600
2005/4/7,13605.41992,13602.34961,13619.87012,13538.40039,264334800
2005/4/8,13670.79004,13666.71973,13686.99023,13636.34961,245676800
2005/4/11,13614.04981,13659.92969,13668,13606.38965,242422400
2005/4/12,13660.65039,13658.04981,13678.63965,13622.70996,165573600
2005/4/13,13695.67969,13799.62012,13808.50977,13665.40039,230154200
2005/4/14,13741.16992,13772.40039,13788.67969,13707.66992,323550000
2005/4/15,13672.74023,13638.75,13672.74023,13579.16016,299358000
2005/4/18,13382.01953,13355.23047,13424.66016,13337.44043,502135000
2005/4/19,13430.15039,13444.08984,13503.29004,13428.38965,224729200
2005/4/20,13534.24023,13501.62988,13567.94043,13489.12988,187061600
2005/4/21,13407.57031,13597.30957,13639.86035,13401.86035,312422000
2005/4/22,13684.58984,13693.54981,13727.44043,13649.5,300321600
2005/4/25,13744.4502,13750.23047,13802.42969,13711.38965,255959400
2005/4/26,13768.73047,13859.58008,13919.51953,13719.80957,389263800
2005/4/27,13832.80957,13839.63965,13847.38965,13799.65039,177705600
2005/4/28,13813.67969,13909.41992,13956.51953,13813.67969,339914600
2005/4/29,13829.4502,13908.96973,13913.09961,13801.17969,309020000
2005/5/3,13969.63965,13893.98047,13994.66016,13877.91992,231424400
2005/5/4,13958.17969,13945.04981,13981.78027,13917.7002,245271200
2005/5/5,14056.92969,14061.7002,14110.29004,14021.92969,313172200
2005/5/6,14041.29004,14033.95996,14095.84961,14004.07031,272557800
2005/5/9,14068.25977,14085.08984,14106.53027,14006.84961,283408200
2005/5/10,14097.19043,14018.37988,14112.61035,13991.19043,235428800
2005/5/11,13959.29004,13939.79981,13973.62012,13895.26953,206986600
2005/5/12,13968.9502,13968.28027,13984.34961,13928.07031,194130600
2005/5/13,13907.16016,13866.80957,13921.41992,13841.86035,223792600
2005/5/17,13861.59961,13667.03027,13863.16016,13626.63965,401396200
2005/5/18,13648.25977,13627.00977,13668.42969,13590.04981,271572400
2005/5/19,13676.87012,13698.92969,13747.96973,13645.08008,253528600
2005/5/20,13715.65039,13717.41992,13723.82031,13642.83984,201016800
2005/5/23,13730.08984,13699.12988,13730.08984,13632.23047,163988800
2005/5/24,13703.13965,13719.32031,13726.15039,13677.33984,158187200
2005/5/25,13715.08984,13562.05957,13717.07031,13542.48047,294308800
2005/5/26,13569.25977,13569.99023,13590.61035,13541.76953,182625600
2005/5/27,13671.63965,13714.78027,13739.2002,13669.2002,218391000
2005/5/30,13741.28027,13845.09961,13851.33008,13684.51953,255851000
2005/5/31,13815.73047,13867.07031,13932.91992,13779.79981,348640200
2005/6/1,13817.26953,13873.07031,13895.33008,13813.69043,302359400
2005/6/2,13942.95996,13814.58008,13946.00977,13779.79981,325242400
2005/6/3,13821.9502,13818.4502,13870.49023,13792.65039,297765200
2005/6/6,13768.03027,13860.54981,13862.62012,13745.67969,265783800
