date,open,close,high,low,volume
2009/1/9,1233.79,1257.08,1260.71,1233.23,146597100
2009/1/12,1256.33,1276.01,1288.82,1253.64,204680000
2009/1/13,1263.94,1241.02,1270.28,1235.75,172028500
2009/1/14,1239.12,1293.7,1294.94,1239.12,227606500
2009/1/15,1280.8,1328.49,1344.3,1277.77,375278000
2009/1/16,1337.95,1343.77,1368.41,1334.31,331250500
2009/1/19,1352.7,1344.69,1359.73,1323.55,222244700
2009/1/20,1339.95,1350.88,1351.42,1317.1,187015100
2009/1/21,1333.2,1342.02,1357.19,1327.06,194392700
2009/1/22,1351.49,1361.9,1365.31,1345.62,242458200
2009/1/23,1362.84,1362.14,1380.23,1353.27,262067400
2009/2/2,1371.69,1407.1,1408.01,1365.02,319791400
2009/2/3,1403.28,1452.24,1453.58,1402.78,378784000
2009/2/4,1463.52,1492.63,1494.13,1460.32,536450300
2009/2/5,1488.43,1462.68,1489.96,1447.44,475525600
2009/2/6,1470.79,1540.12,1540.91,1470.79,526760900
2009/2/9,1558.23,1573.29,1577.79,1545.33,567959200
2009/2/10,1561.71,1619.41,1619.68,1543.55,517355700
2009/2/11,1587.92,1606.36,1646.73,1575.08,663055100
2009/2/12,1610.61,1643.15,1644.01,1578.11,539261100
2009/2/13,1652.26,1697.19,1701.81,1647.48,589037200
2009/2/16,1728.01,1724.17,1748.51,1670.21,634840300
2009/2/17,1717.21,1657.54,1717.21,1648.31,516620300
2009/2/18,1620.45,1582.28,1653.41,1581.56,413447200
2009/2/19,1629.65,1616.41,1648.84,1587.51,412268200
2009/2/20,1614.39,1653.19,1653.47,1591.78,348073300
2009/2/23,1645.21,1711.36,1716.24,1629.75,472122200
2009/2/24,1687.47,1639.06,1712.95,1634.49,568913300
2009/2/25,1653.72,1620.53,1667.14,1573.4,427775200
2009/2/26,1620.23,1518.3,1641.84,1498.51,396473100
2009/2/27,1488.83,1438.46,1499.66,1424.68,346649900
2009/3/2,1418.45,1463.56,1469.05,1414.8,238232400
2009/3/3,1418.85,1461.34,1485.1,1407.94,293820100
2009/3/4,1465.26,1550.4,1550.94,1463.63,336249300
2009/3/5,1569.86,1549.2,1589.22,1517.29,481659400
2009/3/6,1515.59,1523.56,1542.31,1506.71,350024400
2009/3/9,1524,1452.63,1541.52,1441.99,317317100
2009/3/10,1436.32,1490.3,1491.79,1430.37,264636100
2009/3/11,1516.01,1477.58,1519.89,1465.88,277512300
2009/3/12,1470.65,1485.78,1493.11,1433.15,203059400
2009/3/13,1490.03,1478.95,1508.92,1471.57,211227300
2009/3/16,1481.26,1490.83,1494.69,1455.32,167423600
2009/3/17,1492.96,1546.06,1549.47,1481.67,302533500
2009/3/18,1552.51,1565.6,1592.66,1549.45,417954700
2009/3/19,1569.14,1599.38,1599.84,1560.17,445842400
2009/3/20,1599.32,1587.23,1603.99,1554.62,407106800
